_id,sale_id,batch_id,quantity,mrp,tax_percent,discount_percent,createdAt,updatedAt,__v
68d705756d08732e0fc60cc7,68d705756d08732e0fc60cc6,68d7054578436788b19eaab2,1,25,5,0,2025-09-27T02:58:21.595+00:00,2025-09-27T02:58:21.595+00:00,0
68d705756d08732e0fc60cc9,68d705756d08732e0fc60cc8,68d7054578436788b19eacc1,1,99,12,10,2025-09-27T02:58:21.597+00:00,2025-09-27T02:58:21.597+00:00,0
68d705756d08732e0fc60cca,68d705756d08732e0fc60cc8,68d7054578436788b19eab94,1,99,12,0,2025-09-27T02:58:21.597+00:00,2025-09-27T02:58:21.597+00:00,0
68d705756d08732e0fc60ccb,68d705756d08732e0fc60cc8,68d7054578436788b19eabc4,1,410,12,0,2025-09-27T02:58:21.598+00:00,2025-09-27T02:58:21.598+00:00,0
68d705756d08732e0fc60ccd,68d705756d08732e0fc60ccc,68d7054578436788b19eaaa4,1,99,18,0,2025-09-27T02:58:21.600+00:00,2025-09-27T02:58:21.600+00:00,0
68d705756d08732e0fc60cce,68d705756d08732e0fc60ccc,68d7054578436788b19eac1c,1,2149,18,5,2025-09-27T02:58:21.601+00:00,2025-09-27T02:58:21.601+00:00,0
68d705756d08732e0fc60ccf,68d705756d08732e0fc60ccc,68d7054578436788b19eaabc,1,70,12,0,2025-09-27T02:58:21.602+00:00,2025-09-27T02:58:21.602+00:00,0
68d705756d08732e0fc60cd0,68d705756d08732e0fc60ccc,68d7054578436788b19eaae6,1,50,12,0,2025-09-27T02:58:21.603+00:00,2025-09-27T02:58:21.603+00:00,0
68d705756d08732e0fc60cd2,68d705756d08732e0fc60cd1,68d7054578436788b19eac0a,1,240,12,0,2025-09-27T02:58:21.604+00:00,2025-09-27T02:58:21.604+00:00,0
68d705756d08732e0fc60cd3,68d705756d08732e0fc60cd1,68d7054578436788b19eac7b,1,69,18,0,2025-09-27T02:58:21.605+00:00,2025-09-27T02:58:21.605+00:00,0
68d705756d08732e0fc60cd4,68d705756d08732e0fc60cd1,68d7054578436788b19eacd2,1,345,12,0,2025-09-27T02:58:21.606+00:00,2025-09-27T02:58:21.606+00:00,0
68d705756d08732e0fc60cd5,68d705756d08732e0fc60cd1,68d7054578436788b19eabb8,1,299,12,0,2025-09-27T02:58:21.607+00:00,2025-09-27T02:58:21.607+00:00,0
68d705756d08732e0fc60cd7,68d705756d08732e0fc60cd6,68d7054578436788b19eab37,1,1850,18,0,2025-09-27T02:58:21.609+00:00,2025-09-27T02:58:21.609+00:00,0
68d705756d08732e0fc60cd9,68d705756d08732e0fc60cd8,68d7054578436788b19eab0f,1,610,5,0,2025-09-27T02:58:21.610+00:00,2025-09-27T02:58:21.610+00:00,0
68d705756d08732e0fc60cda,68d705756d08732e0fc60cd8,68d7054578436788b19eab76,1,140,18,0,2025-09-27T02:58:21.611+00:00,2025-09-27T02:58:21.611+00:00,0
68d705756d08732e0fc60cdb,68d705756d08732e0fc60cd8,68d7054578436788b19eac38,1,1130,12,5,2025-09-27T02:58:21.612+00:00,2025-09-27T02:58:21.612+00:00,0
68d705756d08732e0fc60cdc,68d705756d08732e0fc60cd8,68d7054578436788b19eaac2,1,70,5,0,2025-09-27T02:58:21.612+00:00,2025-09-27T02:58:21.612+00:00,0
68d705756d08732e0fc60cde,68d705756d08732e0fc60cdd,68d7054578436788b19eaab6,1,25,5,0,2025-09-27T02:58:21.615+00:00,2025-09-27T02:58:21.615+00:00,0
68d705756d08732e0fc60cdf,68d705756d08732e0fc60cdd,68d7054578436788b19eab6c,1,160,5,10,2025-09-27T02:58:21.616+00:00,2025-09-27T02:58:21.616+00:00,0
68d705756d08732e0fc60ce1,68d705756d08732e0fc60ce0,68d7054578436788b19eabbc,1,650,12,0,2025-09-27T02:58:21.617+00:00,2025-09-27T02:58:21.617+00:00,0
68d705756d08732e0fc60ce2,68d705756d08732e0fc60ce0,68d7054578436788b19eaa88,1,440,12,5,2025-09-27T02:58:21.618+00:00,2025-09-27T02:58:21.618+00:00,0
68d705756d08732e0fc60ce3,68d705756d08732e0fc60ce0,68d7054578436788b19eac57,1,149,5,0,2025-09-27T02:58:21.619+00:00,2025-09-27T02:58:21.619+00:00,0
68d705756d08732e0fc60ce4,68d705756d08732e0fc60ce0,68d7054578436788b19eac67,1,180,18,0,2025-09-27T02:58:21.620+00:00,2025-09-27T02:58:21.620+00:00,0
68d705756d08732e0fc60ce6,68d705756d08732e0fc60ce5,68d7054578436788b19eaab8,1,25,18,5,2025-09-27T02:58:21.620+00:00,2025-09-27T02:58:21.620+00:00,0
68d705756d08732e0fc60ce8,68d705756d08732e0fc60ce7,68d7054578436788b19eaac2,1,70,12,0,2025-09-27T02:58:21.622+00:00,2025-09-27T02:58:21.622+00:00,0
68d705756d08732e0fc60ce9,68d705756d08732e0fc60ce7,68d7054578436788b19eab4c,1,195,18,0,2025-09-27T02:58:21.623+00:00,2025-09-27T02:58:21.623+00:00,0
68d705756d08732e0fc60cea,68d705756d08732e0fc60ce7,68d7054578436788b19eabec,1,20,18,0,2025-09-27T02:58:21.624+00:00,2025-09-27T02:58:21.624+00:00,0
68d705756d08732e0fc60ceb,68d705756d08732e0fc60ce7,68d7054578436788b19eacd0,1,260,18,0,2025-09-27T02:58:21.625+00:00,2025-09-27T02:58:21.625+00:00,0
68d705756d08732e0fc60ced,68d705756d08732e0fc60cec,68d7054578436788b19eaba4,1,249,12,0,2025-09-27T02:58:21.626+00:00,2025-09-27T02:58:21.626+00:00,0
68d705756d08732e0fc60cee,68d705756d08732e0fc60cec,68d7054578436788b19eabbe,1,185,18,0,2025-09-27T02:58:21.627+00:00,2025-09-27T02:58:21.627+00:00,0
68d705756d08732e0fc60cef,68d705756d08732e0fc60cec,68d7054578436788b19eab56,1,100,5,0,2025-09-27T02:58:21.628+00:00,2025-09-27T02:58:21.628+00:00,0
68d705756d08732e0fc60cf1,68d705756d08732e0fc60cf0,68d7054578436788b19eacc5,1,120,12,10,2025-09-27T02:58:21.629+00:00,2025-09-27T02:58:21.629+00:00,0
68d705756d08732e0fc60cf2,68d705756d08732e0fc60cf0,68d7054578436788b19eab0d,1,630,12,0,2025-09-27T02:58:21.630+00:00,2025-09-27T02:58:21.630+00:00,0
68d705756d08732e0fc60cf3,68d705756d08732e0fc60cf0,68d7054578436788b19eab90,1,99,12,0,2025-09-27T02:58:21.631+00:00,2025-09-27T02:58:21.631+00:00,0
68d705756d08732e0fc60cf5,68d705756d08732e0fc60cf4,68d7054578436788b19eaade,1,250,18,0,2025-09-27T02:58:21.633+00:00,2025-09-27T02:58:21.633+00:00,0
68d705756d08732e0fc60cf6,68d705756d08732e0fc60cf4,68d7054578436788b19eacc3,1,49,5,0,2025-09-27T02:58:21.634+00:00,2025-09-27T02:58:21.634+00:00,0
68d705756d08732e0fc60cf7,68d705756d08732e0fc60cf4,68d7054578436788b19eac26,1,999,12,0,2025-09-27T02:58:21.634+00:00,2025-09-27T02:58:21.634+00:00,0
