_id,customer_id,sale_date,total_amount,payment_mode,createdAt,updatedAt,__v
68d705756d08732e0fc60cc6,68d7054578436788b19ea933,2025-03-30T10:19:00.000+00:00,26.25,CASH,2025-09-27T02:58:21.593+00:00,2025-09-27T02:58:21.593+00:00,0
68d705756d08732e0fc60cc8,68d7054578436788b19ea911,2025-03-30T16:24:00.000+00:00,669.87,CASH,2025-09-27T02:58:21.596+00:00,2025-09-27T02:58:21.596+00:00,0
68d705756d08732e0fc60ccc,68d7054578436788b19ea91a,2025-03-30T11:32:00.000+00:00,2660.25,CASH,2025-09-27T02:58:21.599+00:00,2025-09-27T02:58:21.599+00:00,0
68d705756d08732e0fc60cd1,68d7054578436788b19ea92f,2025-03-30T20:08:00.000+00:00,1071.5,CASH,2025-09-27T02:58:21.603+00:00,2025-09-27T02:58:21.603+00:00,0
68d705756d08732e0fc60cd6,68d7054578436788b19ea931,2025-03-30T16:05:00.000+00:00,2183.0,CASH,2025-09-27T02:58:21.608+00:00,2025-09-27T02:58:21.608+00:00,0
68d705756d08732e0fc60cd8,68d7054578436788b19ea918,2025-03-30T12:14:00.000+00:00,2081.52,CARD,2025-09-27T02:58:21.609+00:00,2025-09-27T02:58:21.609+00:00,0
68d705756d08732e0fc60cdd,68d7054578436788b19ea916,2025-03-30T19:44:00.000+00:00,177.45,UPI,2025-09-27T02:58:21.614+00:00,2025-09-27T02:58:21.614+00:00,0
68d705756d08732e0fc60ce0,68d7054578436788b19ea914,2025-03-30T20:38:00.000+00:00,1565.01,CARD,2025-09-27T02:58:21.616+00:00,2025-09-27T02:58:21.616+00:00,0
68d705756d08732e0fc60ce5,68d7054578436788b19ea90f,2025-03-30T13:56:00.000+00:00,28.02,UPI,2025-09-27T02:58:21.620+00:00,2025-09-27T02:58:21.620+00:00,0
68d705756d08732e0fc60ce7,68d7054578436788b19ea930,2025-03-30T17:33:00.000+00:00,638.9,UPI,2025-09-27T02:58:21.621+00:00,2025-09-27T02:58:21.621+00:00,0
68d705756d08732e0fc60cec,68d7054578436788b19ea90a,2025-03-30T10:04:00.000+00:00,602.18,UPI,2025-09-27T02:58:21.625+00:00,2025-09-27T02:58:21.625+00:00,0
68d705756d08732e0fc60cf0,68d7054578436788b19ea910,2025-03-30T16:02:00.000+00:00,937.44,CASH,2025-09-27T02:58:21.629+00:00,2025-09-27T02:58:21.629+00:00,0
68d705756d08732e0fc60cf4,68d7054578436788b19ea90f,2025-03-30T10:47:00.000+00:00,1728.53,CASH,2025-09-27T02:58:21.632+00:00,2025-09-27T02:58:21.632+00:00,0
68d705756d08732e0fc60cf9,68d7054578436788b19ea931,2025-03-30T16:43:00.000+00:00,188.7,CARD,2025-09-27T02:58:21.637+00:00,2025-09-27T02:58:21.637+00:00,0
68d705756d08732e0fc60cfd,68d7054578436788b19ea909,2025-03-30T20:06:00.000+00:00,798.67,CARD,2025-09-27T02:58:21.640+00:00,2025-09-27T02:58:21.640+00:00,0
